l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
p.ɚ1.p.ʌ0.t.ɹ.e2ɪ2.t.ɪ0.d, p.ɚ1.p.ʌ0.t.ɹ.e2ɪ2.ɾ.ɪ0.d
ɪ2.l.u1.m.ʌ0.n.e2ɪ2.t.ɚ0, ɪ2.l.u1.m.ʌ0.n.e2ɪ2.ɾ.ɚ0
d.æ1.t.ʌ0, d.æ1.ɾ.ʌ0
ɪ2.n.f.ɪ1.l.t.ɹ.e2ɪ2.t.ɪ0.ŋ, ɪ2.n.f.ɪ1.l.t.ɹ.e2ɪ2.ɾ.ɪ0.ŋ
d.a2ɪ2.ʌ0.n.ɛ1.t.ɪ0.k.s, d.a2ɪ2.ʌ0.n.ɛ1.ɾ.ɪ0.k.s
m.i1.d.i0.e2ɪ2.t.ɪ0.d, m.i1.d.i0.e2ɪ2.ɾ.ɪ0.d
t.w.ɪ1.t.ɚ0, t.w.ɪ1.ɾ.ɚ0
d.ɛ1.s.ʌ0.l.i2.t.ɚ0, d.ɛ1.s.ʌ0.l.i2.ɾ.ɚ0
j.u0.f.ɹ.e1ɪ1.t.i0.z, j.u0.f.ɹ.e1ɪ1.ɾ.i0.z
p.ɹ.ʌ0.l.ɪ1.f.ɚ0.e2ɪ2.t.ɪ0.d, p.ɹ.ʌ0.l.ɪ1.f.ɚ0.e2ɪ2.ɾ.ɪ0.d
ɹ.æ1.n.s.b.ɑ2.t.ʌ0.m, ɹ.æ1.n.s.b.ɑ2.ɾ.ʌ0.m
h.a2ɪ2.p.ɚ0.k.ɪ0.n.ɛ1.t.ɪ0.k, h.a2ɪ2.p.ɚ0.k.ɪ0.n.ɛ1.ɾ.ɪ0.k
n.ɛ1.t.ʌ0.l.t.ʌ0.n, n.ɛ1.ɾ.ʌ0.l.t.ʌ0.n
p.l.æ1.t.ʌ0.p.ʊ2.s, p.l.æ1.ɾ.ʌ0.p.ʊ2.s
t.ɪ1.t.ʌ0.n, t.ɪ1.ɾ.ʌ0.n
k.æ1.l.k.j.ʌ0.l.e2ɪ2.t.ɪ0.ŋ, k.æ1.l.k.j.ʌ0.l.e2ɪ2.ɾ.ɪ0.ŋ
ɔ1.t.ʌ0.k.ɹ.æ2.t, ɔ1.ɾ.ʌ0.k.ɹ.æ2.t
ɪ2.m.p.ɚ0.ɑ1.t.o0ʊ0, ɪ2.m.p.ɚ0.ɑ1.ɾ.o0ʊ0
h.ɑ1.t.ʌ0.n.s.t.i0.n, h.ɑ1.ɾ.ʌ0.n.s.t.i0.n
p.æ1.t.ʌ0.n.t.ɪ0.ŋ, p.æ1.ɾ.ʌ0.n.t.ɪ0.ŋ
ɹ.i2.ʌ0.b.ɪ1.l.ʌ0.t.e2ɪ2.t.ɪ0.d, ɹ.i2.ʌ0.b.ɪ1.l.ʌ0.t.e2ɪ2.ɾ.ɪ0.d
d.ɪ1.t.ʌ0.s, d.ɪ1.ɾ.ʌ0.s
ɪ2.t.ɚ1.p.ʌ0.l.e2ɪ2.t, ɪ2.ɾ.ɚ1.p.ʌ0.l.e2ɪ2.t
ɑ0.l.ɛ0.g.ɹ.ɛ1.t.i0, ɑ0.l.ɛ0.g.ɹ.ɛ1.ɾ.i0
h.ɪ0.ɹ.ɑ1.t.ʌ0, h.ɪ0.ɹ.ɑ1.ɾ.ʌ0
ʌ0.g.l.u1.t.ɪ0.n.e2ɪ2.t, ʌ0.g.l.u1.ɾ.ɪ0.n.e2ɪ2.t
s.l.i1.t.ɚ0, s.l.i1.ɾ.ɚ0
ɪ0.m.æ1.n.s.ʌ0.p.e2ɪ2.t.ɪ0.d, ɪ0.m.æ1.n.s.ʌ0.p.e2ɪ2.ɾ.ɪ0.d
t.ɹ.æ0.n.z.l.e1ɪ1.t.ɚ0.z, t.ɹ.æ0.n.z.l.e1ɪ1.ɾ.ɚ0.z
ʌ1.n.d.ɚ0.ɹ.a2ɪ2.t.ɪ0.ŋ.z, ʌ1.n.d.ɚ0.ɹ.a2ɪ2.ɾ.ɪ0.ŋ.z
t.u1.t.ɚ0, t.u1.ɾ.ɚ0
l.ɪ1.t.ʌ0.g.e2ɪ2.t.ɚ0.z, l.ɪ1.ɾ.ʌ0.g.e2ɪ2.ɾ.ɚ0.z
f.l.æ1.t.o0ʊ0, f.l.æ1.ɾ.o0ʊ0
k.ɑ2.s.b.ʌ0.l.ɑ1.t.ɑ0.f.s, k.ɑ2.s.b.ʌ0.l.ɑ1.ɾ.ɑ0.f.s
m.æ1.t.ɚ0.n, m.æ1.ɾ.ɚ0.n
k.ɑ1.t.i0.ɚ0, k.ɑ1.ɾ.i0.ɚ0
b.j.u1.t.i0, b.j.u1.ɾ.i0
θ.ɹ.ɛ1.t.ʌ0.n, θ.ɹ.ɛ1.ɾ.ʌ0.n
b.ɹ.a1ɪ1.t.ɚ0, b.ɹ.a1ɪ1.ɾ.ɚ0
ɹ.ɛ1.g.j.ʌ0.l.e2ɪ2.t.ɪ0.ŋ, ɹ.ɛ1.g.j.ʌ0.l.e2ɪ2.ɾ.ɪ0.ŋ
b.ɑ1.t.ʌ0.m.f.ɪ2.ʃ, b.ɑ1.ɾ.ʌ0.m.f.ɪ2.ʃ
n.o1ʊ1.t.ʌ0.s, n.o1ʊ1.ɾ.ʌ0.s
s.w.i1.t.ʌ0.n.d, s.w.i1.ɾ.ʌ0.n.d
l.ɪ1.t.ɚ0.ɪ0.ŋ, l.ɪ1.ɾ.ɚ0.ɪ0.ŋ
n.i1.ɹ.s.a2ɪ2.t.ɪ0.d, n.i1.ɹ.s.a2ɪ2.ɾ.ɪ0.d
ɹ.a1ɪ1.t.ʌ0.n.a0ʊ0.ɹ, ɹ.a1ɪ1.ɾ.ʌ0.n.a0ʊ0.ɹ
n.ɑ0.ɹ.u0.h.i1.t.o0ʊ0, n.ɑ0.ɹ.u0.h.i1.ɾ.o0ʊ0
ɹ.i2.ɪ0.n.v.a1ɪ1.t.ɪ0.d, ɹ.i2.ɪ0.n.v.a1ɪ1.ɾ.ɪ0.d
ɹ.æ1.t.ʌ0.l.s.n.e2ɪ2.k, ɹ.æ1.ɾ.ʌ0.l.s.n.e2ɪ2.k
d.a2ɪ2.u0.ɹ.ɛ1.t.ɪ0.k.s, d.a2ɪ2.u0.ɹ.ɛ1.ɾ.ɪ0.k.s
k.ʌ0.m.p.l.i1.t.ɪ0.ŋ, k.ʌ0.m.p.l.i1.ɾ.ɪ0.ŋ
ɹ.ɛ1.g.j.ʌ0.l.e2ɪ2.t.ɪ0.v, ɹ.ɛ1.g.j.ʌ0.l.e2ɪ2.ɾ.ɪ0.v
b.ɛ1.t.ɪ0.ŋ, b.ɛ1.ɾ.ɪ0.ŋ
ɹ.i0.s.ɚ1.t.ʌ0.f.a0ɪ0.ɪ0.ŋ, ɹ.i0.s.ɚ1.ɾ.ʌ0.f.a0ɪ0.ɪ0.ŋ
h.ɪ1.t.æ0.n.ɹ.ʌ2.n, h.ɪ1.ɾ.æ0.n.ɹ.ʌ2.n
ʃ.ʌ1.t.ʌ0.l.ɪ0.ŋ, ʃ.ʌ1.ɾ.ʌ0.l.ɪ0.ŋ
n.ɔ1.t.ʌ0.l.ʌ0.s.ɪ0.z, n.ɔ1.ɾ.ʌ0.l.ʌ0.s.ɪ0.z
ʌ1.n.dʒ.ʌ0.l.e2ɪ2.t.ɪ0.ŋ, ʌ1.n.dʒ.ʌ0.l.e2ɪ2.ɾ.ɪ0.ŋ
ɔ2.t.ʌ0.n.ɑ1.m.ɪ0.k, ɔ2.ɾ.ʌ0.n.ɑ1.m.ɪ0.k
ɹ.ɛ1.t.ɹ.o2ʊ2.f.ɪ2.t.ɪ0.d, ɹ.ɛ1.t.ɹ.o2ʊ2.f.ɪ2.ɾ.ɪ0.d
ɹ.æ1.t.ʌ0.l.d, ɹ.æ1.ɾ.ʌ0.l.d
s.æ1.t.ɪ0.s.f.a2ɪ2.ɪ0.ŋ, s.æ1.ɾ.ɪ0.s.f.a2ɪ2.ɪ0.ŋ
l.u1.t.ɪ0.ŋ, l.u1.ɾ.ɪ0.ŋ
k.ʌ0.n.k.æ1.t.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, k.ʌ0.n.k.æ1.ɾ.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
d.ɪ0.p.ɹ.i1.ʃ.i0.e2ɪ2.t.ɪ0.ŋ, d.ɪ0.p.ɹ.i1.ʃ.i0.e2ɪ2.ɾ.ɪ0.ŋ
g.ɑ1.t.i0, g.ɑ1.ɾ.i0
ɑ1.t.ʌ0.n, ɑ1.ɾ.ʌ0.n
g.l.ɑ1.t.ʌ0.s, g.l.ɑ1.ɾ.ʌ0.s
ɑ0.tʃ.ɛ1.t.ʌ0, ɑ0.tʃ.ɛ1.ɾ.ʌ0
f.ʌ0.s.ɪ1.l.ʌ0.t.e2ɪ2.t.ɪ0.ŋ, f.ʌ0.s.ɪ1.l.ʌ0.t.e2ɪ2.ɾ.ɪ0.ŋ
d.ɹ.ʌ0.m.æ1.t.ɪ0.k.ʌ0.l.i0, d.ɹ.ʌ0.m.æ1.ɾ.ɪ0.k.ʌ0.l.i0
e1ɪ1.t.i0, e1ɪ1.ɾ.i0
ɹ.i1.t.e1ɪ1.k, ɹ.i1.ɾ.e1ɪ1.k
k.j.u2.t.ɪ1.l.o0ʊ0, k.j.u2.ɾ.ɪ1.l.o0ʊ0
g.w.ɑ2.t.ʌ0.m.ɑ1.l.ʌ0.n, g.w.ɑ2.ɾ.ʌ0.m.ɑ1.l.ʌ0.n
p.l.æ1.t.ɚ0, p.l.æ1.ɾ.ɚ0
h.æ1.l.ɪ0.b.ɚ2.t.ʌ0.n.z, h.æ1.l.ɪ0.b.ɚ2.ɾ.ʌ0.n.z
m.æ1.t.ʌ0.k.s, m.æ1.ɾ.ʌ0.k.s
ʌ1.p.d.e2ɪ2.t.ɪ0.d, ʌ1.p.d.e2ɪ2.ɾ.ɪ0.d
t.ɹ.æ0.n.s.l.e1ɪ1.t.ɚ0.z, t.ɹ.æ0.n.s.l.e1ɪ1.ɾ.ɚ0.z
m.j.u1.t.e2ɪ2.t, m.j.u1.ɾ.e2ɪ2.t
l.ɪ1.t.ɚ0.ʌ0.t, l.ɪ1.ɾ.ɚ0.ʌ0.t
d.u1.p.l.ɪ0.k.e2ɪ2.t.ɪ0.ŋ, d.u1.p.l.ɪ0.k.e2ɪ2.ɾ.ɪ0.ŋ
d.ɛ0.s.ʌ0.k.ɹ.e1ɪ1.t.ɪ0.d, d.ɛ0.s.ʌ0.k.ɹ.e1ɪ1.ɾ.ɪ0.d
g.ɹ.e1ɪ1.t.ɚ0, g.ɹ.e1ɪ1.ɾ.ɚ0
ʃ.i1.t.o0ʊ0, ʃ.i1.ɾ.o0ʊ0
s.p.i1.d.s.k.e2ɪ2.t.ɪ0.ŋ, s.p.i1.d.s.k.e2ɪ2.ɾ.ɪ0.ŋ
d.ɛ1.n.ɪ0.g.ɹ.e2ɪ2.t.ɪ0.d, d.ɛ1.n.ɪ0.g.ɹ.e2ɪ2.ɾ.ɪ0.d
b.e0ɪ0.n.i1.t.ɛ0.z, b.e0ɪ0.n.i1.ɾ.ɛ0.z
s.æ1.t.ɚ0.a2ɪ2.z.ɪ0.ŋ, s.æ1.ɾ.ɚ0.a2ɪ2.z.ɪ0.ŋ
d.ɪ0.m.ɑ1.t.i0.o0ʊ0, d.ɪ0.m.ɑ1.ɾ.i0.o0ʊ0
k.ʌ0.m.p.j.u1.t.ɚ0.w.ɚ2.l.d, k.ʌ0.m.p.j.u1.ɾ.ɚ0.w.ɚ2.l.d
h.u1.t.ʌ0, h.u1.ɾ.ʌ0
f.j.æ1.t.o0ʊ0, f.j.æ1.ɾ.o0ʊ0
b.ɹ.u0.n.ɛ1.t.o0ʊ0, b.ɹ.u0.n.ɛ1.ɾ.o0ʊ0
ɛ1.l.ʌ0.v.e2ɪ2.t.ɚ0, ɛ1.l.ʌ0.v.e2ɪ2.ɾ.ɚ0
f.l.ɑ1.t.ʌ0, f.l.ɑ1.ɾ.ʌ0
ɹ.e1ɪ1.n.w.ɔ2.t.ɚ0, ɹ.e1ɪ1.n.w.ɔ2.ɾ.ɚ0
ɹ.i1.t.u1, ɹ.i1.ɾ.u1
ɹ.ɛ1.t.ɹ.o2ʊ2.f.ɪ2.t.ɚ0, ɹ.ɛ1.t.ɹ.o2ʊ2.f.ɪ2.ɾ.ɚ0
t.a1ɪ1.t.ʌ0.l.h.o2ʊ2.l.d.ɚ0, t.a1ɪ1.ɾ.ʌ0.l.h.o2ʊ2.l.d.ɚ0
b.ɑ1.t.ʌ0.l.d, b.ɑ1.ɾ.ʌ0.l.d
s.u0.g.i0.m.o1ʊ1.t.o0ʊ0, s.u0.g.i0.m.o1ʊ1.ɾ.o0ʊ0
p.ɚ0.m.ɪ1.t.ɪ0.ŋ, p.ɚ0.m.ɪ1.ɾ.ɪ0.ŋ
i1.p.o0ʊ0.l.i1.t.o0ʊ0, i1.p.o0ʊ0.l.i1.ɾ.o0ʊ0
b.e1ɪ1.b.i0.s.ɪ2.t.ɪ0.ŋ, b.e1ɪ1.b.i0.s.ɪ2.ɾ.ɪ0.ŋ
m.ɛ2.t.ʌ0.m.ɔ1.ɹ.f.o0ʊ0.z, m.ɛ2.ɾ.ʌ0.m.ɔ1.ɹ.f.o0ʊ0.z
ʌ0.n.ɪ0.n.u1.m.ɚ0.e2ɪ2.t.ɪ0.d, ʌ0.n.ɪ0.n.u1.m.ɚ0.e2ɪ2.ɾ.ɪ0.d
k.ɹ.ɛ1.t.ɪ0.t, k.ɹ.ɛ1.ɾ.ɪ0.t
æ1.k.tʃ.u0.e2ɪ2.t.ɚ0, æ1.k.tʃ.u0.e2ɪ2.ɾ.ɚ0
t.ɹ.æ0.n.z.l.e1ɪ1.t.ɚ0, t.ɹ.æ0.n.z.l.e1ɪ1.ɾ.ɚ0
s.æ1.t.ɚ0.l.i0, s.æ1.ɾ.ɚ0.l.i0
ɹ.ɪ1.t.ʌ0.l, ɹ.ɪ1.ɾ.ʌ0.l
k.ɔ1.t.ɚ0.a0ɪ0.z.d, k.ɔ1.ɾ.ɚ0.a0ɪ0.z.d
f.ɹ.a1ɪ1.t.ʌ0.n.d, f.ɹ.a1ɪ1.ɾ.ʌ0.n.d
b.ɪ0.n.ɛ1.t.i0, b.ɪ0.n.ɛ1.ɾ.i0
ʌ2.n.k.ʌ0.n.v.ɚ1.t.ɪ0.d, ʌ2.n.k.ʌ0.n.v.ɚ1.ɾ.ɪ0.d
f.æ1.b.ɹ.ɪ0.k.e2ɪ2.t.ɚ0.z, f.æ1.b.ɹ.ɪ0.k.e2ɪ2.ɾ.ɚ0.z
ɪ2.p.o0ʊ0.l.i1.t.o0ʊ0, ɪ2.p.o0ʊ0.l.i1.ɾ.o0ʊ0
b.ʌ1.t.ʌ0.n, b.ʌ1.ɾ.ʌ0.n
æ1.t.ɪ0.k.o2ʊ2, æ1.ɾ.ɪ0.k.o2ʊ2
d.ɹ.ʌ0.m.æ1.t.ɪ0.k, d.ɹ.ʌ0.m.æ1.ɾ.ɪ0.k
k.æ1.t.ʌ0.n, k.æ1.ɾ.ʌ0.n
p.ɹ.o1ʊ1.t.ɑ2.n, p.ɹ.o1ʊ1.ɾ.ɑ2.n
s.w.ɛ1.t.ɪ0.ŋ, s.w.ɛ1.ɾ.ɪ0.ŋ
dʒ.ɚ1.t.i0, dʒ.ɚ1.ɾ.i0
d.ɛ1.z.ɪ0.g.n.e2ɪ2.t.ɪ0.d, d.ɛ1.z.ɪ0.g.n.e2ɪ2.ɾ.ɪ0.d
l.a1ɪ1.t.ʌ0.n.d, l.a1ɪ1.ɾ.ʌ0.n.d
i1.t.ʌ0.m.ɑ2.ɹ, i1.ɾ.ʌ0.m.ɑ2.ɹ
ɹ.i0.s.a1ɪ1.t.ɪ0.ŋ, ɹ.i0.s.a1ɪ1.ɾ.ɪ0.ŋ
k.ʌ0.m.p.ɛ1.t.ʌ0.t.ɚ0.z, k.ʌ0.m.p.ɛ1.ɾ.ʌ0.t.ɚ0.z
ɔ1.t.o0ʊ0, ɔ1.ɾ.o0ʊ0
s.w.i1.t.ʌ0.n.ɪ0.ŋ, s.w.i1.ɾ.ʌ0.n.ɪ0.ŋ
t.ʌ0.m.ɑ1.t.o2ʊ2, t.ʌ0.m.ɑ1.ɾ.o2ʊ2
l.i0.o1ʊ1.t.i0.ɚ0, l.i0.o1ʊ1.ɾ.i0.ɚ0
p.ɹ.ɑ1.s.ɪ0.k.j.u2.t.ɚ0, p.ɹ.ɑ1.s.ɪ0.k.j.u2.ɾ.ɚ0
d.u1.t.i0.f.ʌ0.l.i0, d.u1.ɾ.i0.f.ʌ0.l.i0
f.ʌ0.n.ɛ1.t.ɪ0.k.l.i0, f.ʌ0.n.ɛ1.ɾ.ɪ0.k.l.i0
ɑ0.n.d.ɹ.i0.ɑ1.t.i0, ɑ0.n.d.ɹ.i0.ɑ1.ɾ.i0
æ1.b.d.ʌ0.k.e2ɪ2.t.ʌ0.d, æ1.b.d.ʌ0.k.e2ɪ2.ɾ.ʌ0.d
h.ɑ1.t.ʌ0, h.ɑ1.ɾ.ʌ0
m.ɛ2.ɹ.i0.ɛ1.t.ʌ0.z, m.ɛ2.ɹ.i0.ɛ1.ɾ.ʌ0.z
h.a1ɪ1.d.ɹ.e2ɪ2.t.ʌ0.d, h.a1ɪ1.d.ɹ.e2ɪ2.ɾ.ʌ0.d
p.æ1.t.i0.o2ʊ2.z, p.æ1.ɾ.i0.o2ʊ2.z
ɛ0.n.k.æ1.p.s.ʌ0.l.e2ɪ2.t.ɪ0.d, ɛ0.n.k.æ1.p.s.ʌ0.l.e2ɪ2.ɾ.ɪ0.d
n.ɑ1.t.ɪ0.dʒ, n.ɑ1.ɾ.ɪ0.dʒ
k.ɑ0.ɹ.p.ɛ0.n.i1.t.o0ʊ0, k.ɑ0.ɹ.p.ɛ0.n.i1.ɾ.o0ʊ0
f.ɛ1.t.ʌ0.d, f.ɛ1.ɾ.ʌ0.d
æ0.l.b.ɚ1.t.o0ʊ0, æ0.l.b.ɚ1.ɾ.o0ʊ0
ɔ2.t.ʌ0.m.o0ʊ0.b.i1.l.z, ɔ2.ɾ.ʌ0.m.o0ʊ0.b.i1.l.z
z.l.ɔ1.t.i0.z, z.l.ɔ1.ɾ.i0.z
p.i0.ɑ1.t.ɛ0.k, p.i0.ɑ1.ɾ.ɛ0.k
f.o2ʊ2.t.o0ʊ0.k.ɛ1.m.ɪ0.k.ʌ0.l, f.o2ʊ2.ɾ.o0ʊ0.k.ɛ1.m.ɪ0.k.ʌ0.l
h.w.a1ɪ1.t.e2ɪ2.l, h.w.a1ɪ1.ɾ.e2ɪ2.l
l.ɪ1.t.ɪ0.g.ʌ0.n.t.s, l.ɪ1.ɾ.ɪ0.g.ʌ0.n.t.s
m.ɛ0.n.d.o1ʊ1.t.ʌ0, m.ɛ0.n.d.o1ʊ1.ɾ.ʌ0
j.u2.n.ɪ0.l.æ1.t.ɚ0.ʌ0.l.ɪ2.z.ʌ0.m, j.u2.n.ɪ0.l.æ1.ɾ.ɚ0.ʌ0.l.ɪ2.z.ʌ0.m
æ2.n.ʌ0.l.ɪ1.t.ɪ0.k, æ2.n.ʌ0.l.ɪ1.ɾ.ɪ0.k
s.t.ɹ.æ2.t.ʌ0.s.f.ɪ1.ɹ.ɪ0.k, s.t.ɹ.æ2.ɾ.ʌ0.s.f.ɪ1.ɹ.ɪ0.k
p.ɚ1.m.i0.e2ɪ2.t.ɪ0.ŋ, p.ɚ1.m.i0.e2ɪ2.ɾ.ɪ0.ŋ
v.æ1.s.ʌ0.l.e2ɪ2.t.ɪ0.ŋ, v.æ1.s.ʌ0.l.e2ɪ2.ɾ.ɪ0.ŋ
d.e1ɪ1.t.ʌ0.z, d.e1ɪ1.ɾ.ʌ0.z
a1ɪ1.t.ʌ0.m.a2ɪ2.z.ɚ0.z, a1ɪ1.ɾ.ʌ0.m.a2ɪ2.z.ɚ0.z
s.ɛ1.t.o0ʊ0, s.ɛ1.ɾ.o0ʊ0
v.ɛ0.l.v.i1.t.ʌ0, v.ɛ0.l.v.i1.ɾ.ʌ0
k.o1ʊ1.t.ɪ0.ŋ, k.o1ʊ1.ɾ.ɪ0.ŋ
b.æ1.t.ɪ0.n, b.æ1.ɾ.ɪ0.n
ʌ0.h.i1.t.o0ʊ0, ʌ0.h.i1.ɾ.o0ʊ0
ʌ0.s.i1.t.ɪ0.k, ʌ0.s.i1.ɾ.ɪ0.k
ʌ1.t.ɚ0.ʌ0.n.s.ɪ0.z, ʌ1.ɾ.ɚ0.ʌ0.n.s.ɪ0.z
g.j.u0.z.ɛ1.t.i0, g.j.u0.z.ɛ1.ɾ.i0
k.o0ʊ0.l.ɛ1.t.ʌ0, k.o0ʊ0.l.ɛ1.ɾ.ʌ0
p.ɛ2.ɹ.ʌ0.s.ɪ2.m.p.ʌ0.θ.ɛ1.t.ɪ0.k, p.ɛ2.ɹ.ʌ0.s.ɪ2.m.p.ʌ0.θ.ɛ1.ɾ.ɪ0.k
s.p.æ1.t.ɚ0.ɪ0.ŋ, s.p.æ1.ɾ.ɚ0.ɪ0.ŋ
k.i2.t.ʌ0.dʒ.i1.m.ʌ0, k.i2.ɾ.ʌ0.dʒ.i1.m.ʌ0
f.ɹ.e1ɪ1.t.ʌ0.g, f.ɹ.e1ɪ1.ɾ.ʌ0.g
m.ʌ0.k.w.ɚ1.t.ɚ0, m.ʌ0.k.w.ɚ1.ɾ.ɚ0
ɔ0.ɹ.ɪ1.dʒ.ʌ0.n.e2ɪ2.t.ɪ0.d, ɔ0.ɹ.ɪ1.dʒ.ʌ0.n.e2ɪ2.ɾ.ɪ0.d
b.ɑ0.ɹ.ɛ1.t.ʌ0, b.ɑ0.ɹ.ɛ1.ɾ.ʌ0
w.ʌ1.t.ʌ0.l, w.ʌ1.ɾ.ʌ0.l
ɪ2.n.v.ɚ1.t.ʌ0.b.ɹ.ʌ0.t.s, ɪ2.n.v.ɚ1.ɾ.ʌ0.b.ɹ.ʌ0.t.s
d.ɹ.a1ɪ1.t.ɪ0.n, d.ɹ.a1ɪ1.ɾ.ɪ0.n
g.ɹ.i1.t.ɪ0.ŋ, g.ɹ.i1.ɾ.ɪ0.ŋ
ʌ0.n.s.ɚ1.t.ʌ0.n.t.i0, ʌ0.n.s.ɚ1.ɾ.ʌ0.n.t.i0
ʌ0.k.u1.t.ɚ0.m.ʌ0.n.t, ʌ0.k.u1.ɾ.ɚ0.m.ʌ0.n.t
ɹ.ɪ0.s.ʌ1.s.ɪ0.t.e2ɪ2.t.ɪ0.ŋ, ɹ.ɪ0.s.ʌ1.s.ɪ0.t.e2ɪ2.ɾ.ɪ0.ŋ
g.ɹ.ɛ1.t.ʌ0.n.b.ɚ0.g.ɚ0, g.ɹ.ɛ1.ɾ.ʌ0.n.b.ɚ0.g.ɚ0
s.ɚ0.o1ʊ1.t.ʌ0, s.ɚ0.o1ʊ1.ɾ.ʌ0
m.o1ʊ1.t.ɚ0.s.a2ɪ2.k.ʌ0.l, m.o1ʊ1.ɾ.ɚ0.s.a2ɪ2.k.ʌ0.l
k.ɹ.ɪ1.t.ɪ0.s.a2ɪ2.z.ɪ0.z, k.ɹ.ɪ1.ɾ.ɪ0.s.a2ɪ2.z.ɪ0.z
l.u1.t.ʌ0.d, l.u1.ɾ.ʌ0.d
t.æ2.t.u1.ɪ0.ŋ, t.æ2.ɾ.u1.ɪ0.ŋ
k.ʌ0.m.p.l.i1.t.ʌ0.d, k.ʌ0.m.p.l.i1.ɾ.ʌ0.d
s.t.ɹ.æ1.t.o0ʊ0.f.l.ɛ2.k.s, s.t.ɹ.æ1.ɾ.o0ʊ0.f.l.ɛ2.k.s
b.o1ʊ1.t.ʌ0.n, b.o1ʊ1.ɾ.ʌ0.n
k.ɑ2.g.n.ɛ1.t.ɪ0.k.s, k.ɑ2.g.n.ɛ1.ɾ.ɪ0.k.s
t.ɹ.æ0.n.s.l.e1ɪ1.t.ɚ0, t.ɹ.æ0.n.s.l.e1ɪ1.ɾ.ɚ0
s.t.ɪ1.p.j.ʌ0.l.e2ɪ2.t.ɪ0.d, s.t.ɪ1.p.j.ʌ0.l.e2ɪ2.ɾ.ɪ0.d
e1ɪ1.t.i1.n, e1ɪ1.ɾ.i1.n
p.ɹ.æ0.g.m.æ1.t.ɪ0.k, p.ɹ.æ0.g.m.æ1.ɾ.ɪ0.k
p.ɑ1.l.ɪ0.n.e2ɪ2.t.ɪ0.d, p.ɑ1.l.ɪ0.n.e2ɪ2.ɾ.ɪ0.d
w.ɔ1.t.ɚ0.ʃ.ɛ2.d.z, w.ɔ1.ɾ.ɚ0.ʃ.ɛ2.d.z
w.u1.t.ʌ0.n, w.u1.ɾ.ʌ0.n
ɹ.i0.t.ɹ.i1.t.ʌ0.d, ɹ.i0.t.ɹ.i1.ɾ.ʌ0.d
p.ɹ.o1ʊ1.t.o0ʊ0.t.a2ɪ2.p.s, p.ɹ.o1ʊ1.ɾ.o0ʊ0.t.a2ɪ2.p.s
l.ɪ2.t.ʌ0.g.e1ɪ1.ʃ.ʌ0.n.z, l.ɪ2.ɾ.ʌ0.g.e1ɪ1.ʃ.ʌ0.n.z
s.k.ɹ.ɪ1.p.t.ɹ.a2ɪ2.t.ɚ0.z, s.k.ɹ.ɪ1.p.t.ɹ.a2ɪ2.ɾ.ɚ0.z
h.a2ɪ2.p.ʌ0.θ.ɛ1.t.ɪ0.k.l.i0, h.a2ɪ2.p.ʌ0.θ.ɛ1.ɾ.ɪ0.k.l.i0
ɹ.a1ɪ1.t.ɔ0.f.s, ɹ.a1ɪ1.ɾ.ɔ0.f.s
b.a2ɪ2.o0ʊ0.θ.ɛ2.ɹ.ʌ0.p.j.u1.t.ɪ0.k, b.a2ɪ2.o0ʊ0.θ.ɛ2.ɹ.ʌ0.p.j.u1.ɾ.ɪ0.k
ɛ0.n.t.a1ɪ1.t.ʌ0.l, ɛ0.n.t.a1ɪ1.ɾ.ʌ0.l
d.e1ɪ1.t.ʌ0.p.ɹ.ɑ2.d.ʌ0.k.t.s, d.e1ɪ1.ɾ.ʌ0.p.ɹ.ɑ2.d.ʌ0.k.t.s
z.l.ɑ1.t.ʌ0.z, z.l.ɑ1.ɾ.ʌ0.z
p.ɚ1.k.ʌ0.l.e2ɪ2.t.ɚ0, p.ɚ1.k.ʌ0.l.e2ɪ2.ɾ.ɚ0
k.ɹ.i0.e2ɪ2.t.ɔ1.l.ʌ0.dʒ.ɪ0.s.t, k.ɹ.i0.e2ɪ2.ɾ.ɔ1.l.ʌ0.dʒ.ɪ0.s.t
s.ɚ1.t.ʌ0.n.t.i0.z, s.ɚ1.ɾ.ʌ0.n.t.i0.z
d.ɛ1.t.ʌ0.n.e2ɪ2.t.ɚ0, d.ɛ1.ɾ.ʌ0.n.e2ɪ2.ɾ.ɚ0
p.ɹ.o2ʊ2.t.ʌ0.z.o1ʊ1.ʌ0, p.ɹ.o2ʊ2.ɾ.ʌ0.z.o1ʊ1.ʌ0
v.ɚ0.i1.t.ʌ0.l, v.ɚ0.i1.ɾ.ʌ0.l
ʌ0.n.s.ɛ1.t.ʌ0.l.d, ʌ0.n.s.ɛ1.ɾ.ʌ0.l.d
f.o2ʊ2.t.o0ʊ0.dʒ.ɚ1.n.ʌ0.l.ʌ0.s.t, f.o2ʊ2.ɾ.o0ʊ0.dʒ.ɚ1.n.ʌ0.l.ʌ0.s.t
ɹ.u1.t.ɚ0, ɹ.u1.ɾ.ɚ0
k.ɑ1.t.ʌ0.l, k.ɑ1.ɾ.ʌ0.l
d.i1.t.ʌ0.n, d.i1.ɾ.ʌ0.n
